,algorithm,dataset_name,insertion,deletion
92,briggs,PATHMNIST overlaping imbalanced,0.44345982796599065,0.411318570937229
93,sattler,PATHMNIST overlaping imbalanced,0.265748222430115,0.2626078701309152
94,kmeans,PATHMNIST overlaping imbalanced,0.4460122350455958,0.42053212562316533
95,affinity,PATHMNIST overlaping imbalanced,0.5011167450007464,0.49782162598378477
96,meanshift,PATHMNIST overlaping imbalanced,0.3867760342864857,0.361943398132206
97,HDBSCAN,PATHMNIST overlaping imbalanced,0.45372914331596115,0.4033275162230489
98,baseline,PATHMNIST nonoverlaping balanced,0.0917190761047861,0.0933397258564787
99,briggs,PATHMNIST nonoverlaping balanced,0.3579878533498947,0.3303642163542229
100,sattler,PATHMNIST nonoverlaping balanced,0.1406322690895964,0.1015113856458387
101,kmeans,PATHMNIST nonoverlaping balanced,0.40894696016060356,0.3528863565025839
102,affinity,PATHMNIST nonoverlaping balanced,0.22470957285971593,0.19638003396584242
103,meanshift,PATHMNIST nonoverlaping balanced,0.34657103799408534,0.30747397699658296
104,HDBSCAN,PATHMNIST nonoverlaping balanced,0.3725143896341272,0.3252807810049328
105,baseline,PATHMNIST nonoverlaping imbalanced,0.1172530601302089,0.1010991332508805
106,briggs,PATHMNIST nonoverlaping imbalanced,0.5485118871447465,0.5304204332754562
107,sattler,PATHMNIST nonoverlaping imbalanced,0.4971068119257989,0.4854593720933991
108,kmeans,PATHMNIST nonoverlaping imbalanced,0.6064569496221227,0.5653181317725317
109,affinity,PATHMNIST nonoverlaping imbalanced,0.34379520932730623,0.3404363129727724
110,meanshift,PATHMNIST nonoverlaping imbalanced,0.3268363318832084,0.2830302623650185
111,HDBSCAN,PATHMNIST nonoverlaping imbalanced,0.6059104665977794,0.584991483837102
